latitude,longitude,altitude (m)
43.0174689,77.00094683,3124
43.0170779,77.00079743,3090
43.0168321,77.00070622,3068.7
43.0165091,77.00065838,3049.1
43.01614932,77.00049954,3029
43.01604599,77.00045352,3023.5
43.0157859,77.00033519,3010.4
43.01538714,77.00006184,2992.8
43.01480024,76.99977231,2976.3
43.01453345,76.99964314,2968.8
43.01418271,76.99939103,2956.4
43.01369587,76.99914441,2949.3
43.01320176,76.99887548,2953.6
43.01270067,76.99857827,2968.5
43.01242296,76.99841385,2977.2
43.01200267,76.99808154,2987.2
43.01178239,76.9979566,2991.4
43.01150805,76.99780532,2995.9
43.01123445,76.99765465,3000
43.01073876,76.99737086,3007.3
43.010465,76.99722196,3010.6
43.01002669,76.99698296,3013.8
43.00947824,76.99667676,3021.7
43.00887449,76.9963194,3038.8
43.00856818,76.99605475,3048.6
43.00824007,76.99587126,3056.8
43.0077152,76.99549979,3055.5
43.00746337,76.99528276,3052.8
43.00718922,76.99513691,3054.8
43.00686103,76.99495386,3058.3
43.00658822,76.99479591,3064.4
43.00615256,76.99454333,3077.3
43.0056092,76.99422503,3092.9
43.00550091,76.9941606,3096.4
43.00504675,76.99397615,3113.4
43.00453863,76.99376595,3125.1
43.0038971,76.99358134,3137.4
43.00344503,76.99340244,3146.9
43.00299502,76.99322179,3161.1
43.0024163,76.99305492,3184
43.00230994,76.99299087,3188.6
43.00194461,76.99275548,3206.9
43.0016607,76.99266597,3220.7
43.00144778,76.99254157,3226.3
43.00112877,76.99235524,3236.4
43.00070157,76.99211026,3250.5
43.00025499,76.99193792,3258
42.99982757,76.99169612,3264.9
42.99948715,76.99158648,3271.7
42.99938113,76.99152523,3274.4
42.99893456,76.99135555,3283.5
42.99861705,76.99117216,3290.6
42.998296,76.99099304,3296.4
42.99792121,76.99078445,3302.6
42.99760012,76.99060565,3307.4
42.99722993,76.99039337,3313.5
42.99696607,76.99024158,3318.9
42.99638093,76.98991228,3329
42.99606058,76.9897338,3332.2
42.99562997,76.98949821,3336.4
42.99515047,76.98923015,3342.1
42.99477823,76.98902128,3346
42.99440743,76.98881177,3351.3
42.99408886,76.98863327,3358.5
42.99364387,76.98828598,3374.9
42.99335488,76.98803053,3383.4
42.99301466,76.98774513,3394.4
42.99278195,76.98751897,3404.5
42.99245054,76.98723128,3416
42.99224651,76.9871101,3421.9
42.9920686,76.98691421,3429.4
42.99155649,76.98661401,3449.4
42.99101281,76.98621234,3466.3
42.99071305,76.98603109,3476.5
42.99041105,76.98585104,3486.2
42.99015566,76.98570255,3493.1
42.98982175,76.98542154,3504.6
42.98961643,76.98530328,3512.3
42.98929632,76.98502017,3527.5
42.98910438,76.98489958,3537.8
42.98871578,76.9846603,3560.1
42.98852321,76.98454069,3570
42.98818987,76.98433147,3586.9
42.98805058,76.9842415,3594.7
42.98758983,76.98394239,3623.8
42.98727718,76.98383798,3639.2
42.98718077,76.98377921,3644.7
42.98686085,76.98357169,3663.2
42.98677147,76.98351234,3668.4
42.98641518,76.98327574,3698.2
42.98610943,76.98306936,3730.4
42.98586036,76.98289218,3755.4
42.98558783,76.98268539,3788.8
42.98539843,76.98253836,3811.6
42.98528188,76.98235019,3832.3
42.9851141,76.98223511,3852.5
42.98503187,76.98217756,3862.3
42.9848079,76.98197386,3894.2
42.98467326,76.98185891,3912.6
42.9843828,76.98159286,3950.7
42.98417724,76.98145241,3972.9
42.98401062,76.98124308,3991.8
42.98374044,76.98104833,4012.8
42.98357316,76.9809375,4023.1
42.98336433,76.98082733,4033.4
42.98307678,76.98068926,4026.4
42.98272067,76.98052299,4015.2
42.98244383,76.98038421,4007.4
42.98212604,76.9802177,4004.6
42.98186189,76.98007876,4002.7
42.9815975,76.9799397,4001.3
42.98141822,76.97968972,3997.3
42.98145066,76.97955101,3994.5
42.98170656,76.97921814,3988.5
42.98194399,76.97895423,3982.6
42.9821498,76.97882931,3979.4
42.98246105,76.97876029,3976.4
42.98270405,76.97873296,3978.7
42.98300281,76.97873389,3983
42.98326367,76.97877892,3987.5
42.98345403,76.97886523,3996
42.98386626,76.97896911,4018.4
42.98418743,76.97904211,4034.2
42.98452625,76.97913999,4031.1
42.98477321,76.97920755,4025.7
42.98502005,76.97936978,4013.1
42.98521047,76.97940967,3999.8
42.98548445,76.97950413,3979
42.98577773,76.9796955,3952.5
42.98599353,76.979833,3933.9
42.98611865,76.97991551,3923.2
42.98652228,76.98009478,3891.8
42.98690043,76.98034505,3856.5
42.9872444,76.98056926,3825.3
42.98754083,76.98076645,3799.5
42.98788179,76.98099327,3771.4
42.98809567,76.98113586,3753
42.98832617,76.98127858,3733.5
42.98869485,76.98150783,3715.4
42.98878695,76.98156533,3710.8
42.98902811,76.98170909,3699
42.9895266,76.98199614,3677.2
42.9899376,76.98215554,3664.7
42.99021461,76.98233041,3644.1
42.99026061,76.98235965,3640.3
42.99043875,76.98247747,3624.8
42.99077783,76.98261214,3602.2
42.99096424,76.98273007,3590.6
42.99131677,76.98286466,3573.7
42.99160812,76.98304151,3555.3
42.99175945,76.98312936,3547.4
42.99224636,76.98331935,3529.5
42.99242356,76.98333451,3526
42.99265698,76.98348475,3514.5
42.9928473,76.98360481,3504.2
42.99321656,76.98374027,3488
42.99341488,76.98385971,3477.6
42.99366191,76.98400952,3466.4
42.99391038,76.98415958,3454.8
42.99437341,76.98442671,3439.2
42.99458441,76.98454427,3434.7
42.99476588,76.98473712,3426.3
42.99499777,76.98496047,3416.9
42.99517987,76.98515402,3412
42.99555961,76.98553647,3403.9
42.99585988,76.98578519,3400.5
42.99610935,76.98600303,3396.9
42.99635783,76.986221,3394.6
42.99670614,76.98650106,3392.9
42.99702504,76.98667759,3388.9
42.99713042,76.98673671,3387.6
42.99744969,76.98691323,3385
42.99788221,76.9871445,3381.4
42.99815159,76.98728922,3382.6
42.99850508,76.98756617,3377.5
42.99871231,76.98768746,3368.2
42.99896743,76.9878424,3359.2
42.99932619,76.98805989,3346.3
42.99937765,76.98809093,3343.9
42.99961516,76.98831849,3334
43.00005889,76.98867233,3314.2
43.0003726,76.98885757,3305.7
43.00083844,76.9891915,3302.3
43.00108822,76.9894086,3299.6
43.0014651,76.98961303,3292.3
43.00177402,76.98980739,3283.1
43.00213604,76.99003474,3265.7
43.00224114,76.99009781,3259
43.00253203,76.99036647,3237.4
43.00277035,76.99060565,3219.9
43.00303726,76.99095809,3197.6
43.00324682,76.99109163,3183
43.00372077,76.99139273,3152.8
43.00409569,76.99161761,3131.2
43.00433293,76.99166996,3123
43.00473391,76.99181267,3113.4
43.00502739,76.99189207,3107
43.00524469,76.99201596,3101.1
43.00564685,76.99215911,3091.2
43.00570137,76.99219018,3090.1
43.00597261,76.99234744,3083.8
43.00629834,76.99254153,3072.9
43.00670124,76.99269284,3055.9
43.00697395,76.9928543,3044.2
43.00732358,76.9929778,3031.5
43.00765292,76.99316156,3025.2
43.00800458,76.99326769,3022.1
43.00822425,76.99338726,3020.7
43.00854319,76.99339027,3015.8
43.00876281,76.99350984,3013.6
43.00900467,76.99355619,3010.5
43.00937887,76.99359223,3005.2
43.00973154,76.99370616,3002.1
43.01006089,76.99388438,3001.3
43.01038996,76.99406177,2999.8
43.01057718,76.99407864,2996.9
